id,ime,država,gorovje,višina,širina,dolžina,vrsta,število ogledov,priljubljenost,mesto na lestvici priljubljenosti,število slik,število poti
101,Triglav,Slovenija,Julijske Alpe,2864,46.37832,13.83648,"vrh, bivak",1718459,100,1.,42,28
1010,Dolkova špica,Slovenija,Julijske Alpe,2591,46.42574,13.81467,vrh,580762,95,170.,17,5
10100,Koča na Doliču,Slovenija,Julijske Alpe,2151,46.36487,13.81953,"koča, sedlo",633477,96,124.,10,10
10101,Planina Krstenica,Slovenija,Julijske Alpe,1670,46.32596,13.85037,planina,535445,93,258.,11,3
10102,Dom na Komni,Slovenija,Julijske Alpe,1520,46.28446,13.77338,koča,812696,99,44.,10,12
101036,Rifugio Gilberti,Italija,Julijske Alpe,1850,46.37194,13.46127,koča,357055,77,802.,2,2
101037,Bivak Marrusich,Italija,Julijske Alpe,2041,46.37206,13.42438,"bivak, sedlo",271383,68,1119.,2,2
101038,Žrd / Sart,Italija,Julijske Alpe,2324,46.38215,13.39984,vrh,396129,81,662.,4,2
101039,Vrh Grubje,Italija,Julijske Alpe,2240,46.37203,13.41694,vrh,241434,64,1232.,2,1
101040,Planina Zgornja Gorjuda,Italija,Julijske Alpe,1404,46.38629,13.43932,"bivak, planina",195921,59,1405.,2,1
101041,Viš/Jof Fuart,Italija,Julijske Alpe,2666,46.42996,13.49155,vrh,632204,96,126.,14,5
101042,Rifugio Corsi,Italija,Julijske Alpe,1874,46.42212,13.50003,koča,388991,80,689.,4,4
101043,Bivak Gorizia,Italija,Julijske Alpe,1950,46.42571,13.51796,bivak,296167,70,1023.,4,1
101045,Glave,Slovenija,Julijske Alpe,1760,46.46647,13.70185,vrh,244246,65,1220.,3,2
101046,Mala Ponca,"Italija, Slovenija",Julijske Alpe,1925,46.46818,13.6932,vrh,496027,90,346.,4,3
101047,Zavetišče pod Ponco,Italija,Julijske Alpe,1657,46.46638,13.6855,bivak,321325,73,923.,1,1
101048,Rifugio Zacchi,Italija,Julijske Alpe,1380,46.45921,13.6843,koča,383170,79,707.,3,1
101049,Izvir Boke,Slovenija,Julijske Alpe,850,46.3221,13.4784, ,272841,68,1109.,9,1
10105,Triglavska vojašnica Viktorja Emanuela III,Slovenija,Julijske Alpe,2520,46.37661,13.82681, ,510027,91,307.,6,3
101050,Srednja Ponca,"Italija, Slovenija",Julijske Alpe,2228,46.45676,13.69881,vrh,434788,85,532.,5,2
101051,Zadnja Ponca,"Italija, Slovenija",Julijske Alpe,2242,46.45048,13.69495,vrh,342413,75,852.,4,2
101052,Pihavec,Slovenija,Julijske Alpe,2419,46.39254,13.80664,vrh,525448,92,275.,6,4
101053,Špik Hude police / Cima di Terrarossa,Italija,Julijske Alpe,2420,46.4266,13.45217,vrh,648723,97,110.,2,2
