id,id soseda
280631,280632
110362,1101402
110362,110360
110362,110557
110362,1101262
110362,1101252
110362,1102715
110362,110361
3902006,3901846
2101694,2101997
2101694,2101998
2701322,2701316
2701322,2701120
2701322,2703122
2701322,270653
2503028,250797
5702694,5702692
5702694,5702693
5702694,5702705
5702694,5702696
5702694,5702695
2601410,2601409
2601410,260471
3902790,3902792
3902790,3902789
3902790,3901849
3902790,3901850
6303332,6303301
102830,102659
102830,101096
102830,10710
102830,103821
1101658,1101657
1101658,1101659
1101658,1101918
1101658,110365
5802239,5802242
5802239,5802243
5802239,5802238
5802239,5802245
3901850,3901851
3901850,3902792
3901850,3902790
3901850,3901845
3901850,3901849
50596,50595
50596,50118
50596,501561
50596,50335
50596,50188
50596,501611
10222,10580
10222,10184
10222,101547
10222,101989
16301636,16303398
16301636,16303394
16301636,16303675
16301636,16301637
16301636,13803935
16203093,16203044
302711,30304
302711,30380
302711,30324
302711,30695
302711,301392
302711,30696
302711,30708
302711,30379
302711,301345
302711,30616
302711,30305
302711,30697
302711,30438
50312,50313
50312,502146
50312,502533
16203617,16201398
2601152,2601153
2601152,2601154
3902051,3902049
5903822,5903823
503727,501425
3902952,3902956
3902952,3902991
3902952,3902951
3902952,3902953
330908,330907
260127,260556
2102000,210523
2102000,210524
2102000,2101999
2102000,2101997
2901793,2901001
101898,10311
101898,101899
101898,10587
101898,10463
101898,101900
101898,101902
101898,10464
402741,402740
402741,403183
10449,10102
10449,10198
10449,101372
10449,102680
10449,10153
10449,10448
10449,101371
10449,101888
403853,40892
403853,403649
403853,40841
403853,40893
110509,110346
110509,30190
110509,1103342
110509,110251
110509,110443
110509,1101245
110509,110508
110509,110149
1102920,1102918
1102920,1101502
1102920,1102919
1102920,1102922
1102920,1102921
13803762,13803763
13803762,13803859
13803762,13803764
2703061,2703058
2703061,2703053
2503706,250789
2101505,2101506
2101505,210439
10330,10374
10330,10329
10330,101594
10330,101590
10330,101595
10330,10418
40892,403853
40892,403649
40892,40841
40892,40893
40892,403534
2703124,2703122
5702856,5702857
40754,40753
40754,403096
2102503,210523
2102503,210524
2102503,2102766
2102503,2102485
2102503,2101999
2102503,2102498
2102503,2102504
2102503,2101754
101498,10393
101498,10420
5701016,5701017
3902047,3902043
3902047,3902048
3902047,3902037
3902047,3902038
3902047,3902039
2102850,2102858
2102850,2102859
2102850,2103237
2102850,2102851
2102850,2102852
1101926,110354
1101926,110525
1101926,1101263
1101926,1101214
1101926,110442
1101926,1101927
1102609,1101265
1102609,1102644
1102609,102576
1102609,1102454
1102609,1101247
1102609,1101248
1102609,102452
1102609,1101407
1102609,1102517
1102609,1102619
2701363,2701362
2701363,2701352
1048,10155
1048,10203
1048,102990
1048,103
1048,1026
1048,10682
1048,101
1048,1023
1048,10321
1048,101383
5902233,5902232
403516,402387
403516,403517
403516,403494
501649,502209
501649,501490
501649,5075
501649,501661
10326,101372
10326,10325
10326,10327
10326,101601
10326,102799
10326,101371
50492,50264
270648,2702813
270648,2703063
270648,2703002
270648,270649
270648,2701122
270648,2702811
270648,2702812
2503340,250880
2503340,250878
2503340,250877
2503340,250876
2503340,250881
2503340,250879
2503340,2503335
103299,102439
103299,10394
103299,102436
103299,103297
2804036,2804038
2804036,2804037
2803209,2803207
103333,10722
103333,101815
103333,101812
103333,1027
103333,101060
103333,10682
103333,10995
501425,503727
303511,302874
303511,303510
303511,303512
2602912,2602944
2602912,2602913
502209,501649
502209,501490
10263,1076
10263,1084
10263,10339
10263,102123
10263,101786
10263,1082
10263,1081
10263,101124
10263,10291
2503205,2503250
2503205,2503206
5903863,5903860
5903863,5903861
5903863,5903862
103558,103446
103558,103485
103558,103589
103558,103465
280627,280621
280627,280625
280627,280626
30544,303449
30544,30189
30544,303249
30544,302071
5902264,5902266
5902264,5902268
5902264,5902262
5902264,5902265
2501453,2501091
2501453,2503400
