id,začetna točka,čas,zahtevnost
101,Aljažev dom v Vratih,6 h,zelo zahtevna označena pot
101,Konec ceste na Pokljuki,6 h,zelo zahtevna označena pot
101,Dolina Krma,6 h 10 min,zelo zahtevna označena pot
101,Aljažev dom v Vratih,6 h 30 min,zelo zahtevna označena pot
101,Aljažev dom v Vratih,6 h 10 min,zelo zahtevna označena pot
101,Dolina Krma,6 h,zelo zahtevna označena pot
101,Koča pri Savici,8 h 45 min,zelo zahtevna označena pot
101,Zadnjica,7 h 15 min,zelo zahtevna označena pot
101,Rudno polje,6 h 30 min,zelo zahtevna označena pot
101,Konec  ceste na Pokljuki,5 h 45 min,zelo zahtevna označena pot
101,Konec ceste na Pokljuki,6 h 10 min,zelo zahtevna označena pot
101,Dolina Kot,6 h 10 min,zelo zahtevna označena pot
101,Dolina Krma,5 h 45 min,zelo zahtevna označena pot
101,Turkov rovt,6 h 20 min,"lahko brezpotje, zelo zahtevna označena pot"
101,Zadnjica,7 h 15 min,zelo zahtevna označena pot
101,Rudno polje,7 h 30 min,"zahtevno brezpotje, zelo zahtevna označena pot"
101,Planina Blato,6 h 45 min,"lahka neoznačena steza, zelo zahtevna označena pot"
101,Uskovnica,6 h 15 min,zelo zahtevna označena pot
101,Stara Fužina,7 h 45 min,zelo zahtevna označena pot
101,Zadnjica,7 h 15 min,zelo zahtevna označena pot
101,Planina Blato,7 h 45 min,zelo zahtevna označena pot
101,Stara Fužina,7 h 30 min,zelo zahtevna označena pot
101,Uskovnica,6 h,zelo zahtevna označena pot
101,Rudno polje,6 h 20 min,zelo zahtevna označena pot
101,Zadnjica,7 h 30 min,"zelo zahtevna označena pot, zahtevna neoznačena steza"
101,Uskovnica,6 h 20 min,zelo zahtevna označena pot
101,Srednja vas,7 h 45 min,zelo zahtevna označena pot
1010,Aljažev dom v Vratih,5 h 15 min,zahtevna označena pot
1010,Aljažev dom v Vratih,6 h,zelo zahtevna označena pot
1010,Aljažev dom v Vratih,5 h,zelo zahtevno brezpotje
1010,Ruski križ,5 h 45 min,zelo zahtevna označena pot
1010,Pišnica,6 h 20 min,zelo zahtevna označena pot
10100,Zadnjica,4 h 45 min,lahka označena pot
10100,Konec ceste na Pokljuki,5 h,lahka označena pot
10100,Planina Blato,5 h 15 min,lahka označena pot
10100,Zadnjica,4 h 45 min,zelo zahtevna označena pot
10100,Koča pri Savici,6 h 15 min,zahtevna označena pot
10100,Dolina Krma,5 h 30 min,lahka označena pot
10100,Zadnjica,6 h 45 min,zelo zahtevna označena pot
10100,Aljažev dom v Vratih,5 h 40 min,lahka označena pot
10100,Planina Blato,5 h 30 min,lahka neoznačena steza
10100,Rudno polje,5 h 20 min,lahka označena pot
10101,Planina Blato,1 h 30 min,lahka neoznačena steza
10101,Stara Fužina,3 h 15 min,lahka označena pot
10101,Stara Fužina,4 h,lahka neoznačena steza
10102,Koča pri Savici,2 h 30 min,lahka označena pot
10102,Koča  pri Savici,3 h 5 min,zahtevna označena pot
10102,Ski hotel Vogel,5 h,lahka označena pot
10102,Pod Zjabci,5 h,lahka označena pot
10102,Planina Blato,4 h 15 min,lahka označena pot
10102,Dom v Lepeni,5 h 15 min,lahka označena pot
10102,Planina Blato,5 h 45 min,delno zahtevna označena pot
10102,Ukanc,4 h,delno zahtevna neoznačena pot
10102,Ukanc,6 h 45 min,lahka označena pot
10102,Ukanc,6 h 15 min,lahka označena pot
10102,Ukanc,4 h 45 min,lahka neoznačena steza
10102,Planina Blato,5 h 45 min,lahka označena pot
101036,Nevejski preval,1 h 45 min,lahka označena pot
101036,Nevejski preval,2 h 15 min,lahka označena pot
101037,Rifugio Gilberti,2 h,lahka označena pot
101037,Reklanska dolina,4 h,zahtevna označena pot
101038,Rifugio Gilberti,3 h 15 min,delno zahtevna označena pot
101038,Reklanska dolina,5 h 15 min,zahtevna označena pot
101039,Rifugio Gilberti,2 h 30 min,lahko brezpotje
101040,Reklanska dolina,2 h,zahtevna označena pot
101041,Nevejski preval,5 h,zahtevna označena pot
101041,Cave del Mole,4 h 30 min,zahtevna označena pot
101041,Zajzera,6 h,izjemno zahtevna označena pot
101041,Cave del Mole,5 h 30 min,zelo zahtevna označena pot
101041,Bele vode,6 h,zelo zahtevna označena pot
101042,Nevejski preval,2 h 50 min,lahka označena pot
101042,Cave del Mole,2 h 10 min,lahka označena pot
